VOL,SIGMA_S(100),SIGMA_S(50),MULT(100),MULT(50)
0.01,0.038583,0.0158833,3.8583,1.58833
0.02,0.0771659,0.0317667,3.8583,1.58833
0.03,0.115748,0.04765,3.85828,1.58833
0.04,0.154275,0.0635333,3.85687,1.58833
0.05,0.192241,0.0794167,3.84482,1.58833
0.06,0.228588,0.0953,3.80979,1.58833
0.07,0.262421,0.111183,3.74887,1.58833
0.08,0.293372,0.127067,3.66715,1.58833
0.09,0.321474,0.14295,3.57194,1.58833
0.1,0.346962,0.158833,3.46962,1.58833
0.11,0.370141,0.174714,3.36492,1.58831
0.12,0.391316,0.190587,3.26096,1.58822
0.13,0.410767,0.206441,3.15975,1.588
0.14,0.428741,0.222256,3.06243,1.58754
0.15,0.445445,0.238007,2.96963,1.58672
0.16,0.461056,0.253664,2.8816,1.5854
0.17,0.475724,0.269195,2.79838,1.5835
0.18,0.489575,0.28457,2.71986,1.58095
0.19,0.502715,0.299762,2.64587,1.57769
0.2,0.515233,0.314748,2.57616,1.57374
0.21,0.527206,0.329509,2.5105,1.56909
0.22,0.538699,0.344034,2.44863,1.56379
0.23,0.549768,0.358313,2.39029,1.55788
0.24,0.560461,0.372343,2.33525,1.55143
0.25,0.570819,0.38612,2.28328,1.54448
0.26,0.58088,0.399648,2.23415,1.53711
0.27,0.590674,0.41293,2.18768,1.52937
0.28,0.60023,0.425971,2.14368,1.52133
0.29,0.609571,0.438778,2.10197,1.51303
0.3,0.618718,0.451358,2.06239,1.50453
0.31,0.627691,0.46372,2.02481,1.49587
0.32,0.636507,0.475871,1.98908,1.4871
0.33,0.64518,0.487822,1.95509,1.47825
0.34,0.653725,0.499581,1.92272,1.46936
0.35,0.662152,0.511156,1.89186,1.46045
0.36,0.670473,0.522557,1.86243,1.45155
0.37,0.678698,0.533792,1.83432,1.44268
0.38,0.686835,0.544869,1.80746,1.43386
0.39,0.694892,0.555796,1.78177,1.42512
0.4,0.702876,0.566581,1.75719,1.41645
0.41,0.710795,0.577231,1.73365,1.40788
0.42,0.718653,0.587753,1.71108,1.39941
0.43,0.726457,0.598155,1.68944,1.39106
0.44,0.734212,0.608442,1.66866,1.38282
0.45,0.741922,0.618621,1.64871,1.37471
0.46,0.749591,0.628697,1.62955,1.36673
0.47,0.757223,0.638676,1.61111,1.35889
0.48,0.764822,0.648564,1.59338,1.35118
0.49,0.772391,0.658365,1.57631,1.3436
0.5,0.779933,0.668084,1.55987,1.33617
0.51,0.787452,0.677726,1.54402,1.32887
0.52,0.794949,0.687295,1.52875,1.32172
0.53,0.802426,0.696794,1.51401,1.31471
0.54,0.809888,0.706229,1.49979,1.30783
0.55,0.817334,0.715602,1.48606,1.30109
0.56,0.824768,0.724917,1.4728,1.29449
0.57,0.832191,0.734177,1.45999,1.28803
0.58,0.839606,0.743386,1.4476,1.2817
0.59,0.847012,0.752546,1.43561,1.2755
0.6,0.854413,0.76166,1.42402,1.26943
0.61,0.861809,0.770731,1.4128,1.26349
0.62,0.869202,0.779762,1.40194,1.25768
0.63,0.876593,0.788755,1.39142,1.25199
0.64,0.883984,0.797711,1.38122,1.24642
0.65,0.891374,0.806635,1.37134,1.24098
0.66,0.898766,0.815526,1.36177,1.23565
0.67,0.90616,0.824389,1.35248,1.23043
0.68,0.913557,0.833223,1.34347,1.22533
0.69,0.920959,0.842032,1.33472,1.22034
0.7,0.928365,0.850817,1.32624,1.21545
0.71,0.935777,0.85958,1.318,1.21068
0.72,0.943196,0.868321,1.30999,1.206
0.73,0.950621,0.877044,1.30222,1.20143
0.74,0.958054,0.885748,1.29467,1.19696
0.75,0.965496,0.894436,1.28733,1.19258
0.76,0.972946,0.903109,1.28019,1.1883
0.77,0.980407,0.911768,1.27326,1.18411
0.78,0.987877,0.920414,1.26651,1.18002
0.79,0.995357,0.929048,1.25995,1.17601
0.8,1.00285,0.937672,1.25356,1.17209
