V,OPTION_PRICE,DELTA,VOL
1,1.17913e-22,2.65029e-21,4.49532
2,2.12563e-16,2.02903e-15,3.81822
3,3.28057e-13,1.87264e-12,3.42496
4,3.70515e-11,1.45783e-10,3.14768
5,1.10197e-09,3.23305e-09,2.93389
6,1.47672e-08,3.39672e-08,2.7602
7,1.17158e-07,2.18765e-07,2.61418
8,6.43464e-07,1.00075e-06,2.48839
9,2.69674e-06,3.56278e-06,2.37806
10,9.19752e-06,1.04847e-05,2.27991
11,2.66921e-05,2.65904e-05,2.19161
12,6.80602e-05,5.98777e-05,2.11146
13,0.000156139,0.000122397,2.03814
14,0.00032814,0.000230946,1.97065
15,0.000640635,0.000407482,1.90818
16,0.00117477,0.000679195,1.85008
17,0.00204142,0.00107824,1.79582
18,0.00338585,0.00164117,1.74498
19,0.00539173,0.00240807,1.69717
20,0.00828417,0.00342154,1.65209
21,0.0123317,0.00472559,1.60947
22,0.017847,0.00636445,1.56909
23,0.0251866,0.00838143,1.53076
24,0.0347497,0.0108179,1.49428
25,0.0469751,0.0137123,1.45953
26,0.0623385,0.0170993,1.42635
27,0.0813482,0.0210095,1.39464
28,0.104541,0.0254685,1.36429
29,0.132475,0.0304967,1.3352
30,0.165729,0.0361093,1.30729
31,0.204892,0.0423162,1.28048
32,0.250561,0.0491222,1.25471
33,0.303336,0.0565266,1.22991
34,0.363812,0.0645243,1.20602
35,0.432579,0.0731054,1.18299
36,0.510213,0.0822562,1.16078
37,0.597275,0.0919589,1.13933
38,0.694308,0.102193,1.11862
39,0.801829,0.112934,1.09859
40,0.920335,0.124156,1.07922
41,1.05029,0.13583,1.06047
42,1.19214,0.147928,1.04232
43,1.34628,0.160417,1.02474
44,1.51309,0.173265,1.00769
45,1.69292,0.18644,0.991167
46,1.88607,0.19991,0.975134
47,2.09282,0.21364,0.959573
48,2.31342,0.227599,0.944465
49,2.54809,0.241754,0.929792
50,2.79699,0.256074,0.915535
51,3.06028,0.270528,0.901678
52,3.33808,0.285086,0.888206
53,3.63048,0.299721,0.875103
54,3.93754,0.314403,0.862356
55,4.25929,0.329108,0.849951
56,4.59575,0.34381,0.837877
57,4.9469,0.358486,0.826121
58,5.31271,0.373113,0.814671
59,5.69311,0.387671,0.803518
60,6.08802,0.402139,0.792651
61,6.49735,0.416501,0.782059
62,6.92098,0.430739,0.771735
63,7.35878,0.444837,0.761669
64,7.8106,0.458783,0.751852
65,8.27629,0.472561,0.742277
66,8.75567,0.486162,0.732936
67,9.24855,0.499574,0.723821
68,9.75475,0.512788,0.714925
69,10.2741,0.525795,0.706242
70,10.8063,0.538588,0.697765
71,11.3512,0.551161,0.689488
72,11.9085,0.563508,0.681405
73,12.4781,0.575625,0.67351
74,13.0597,0.587507,0.665797
75,13.653,0.599151,0.658262
76,14.2579,0.610556,0.650898
77,14.8741,0.621719,0.643702
78,15.5013,0.632639,0.636669
79,16.1393,0.643316,0.629793
80,16.7878,0.653749,0.62307
81,17.4467,0.66394,0.616497
82,18.1156,0.673889,0.610069
83,18.7944,0.683597,0.603782
84,19.4827,0.693066,0.597633
85,20.1804,0.702299,0.591617
86,20.8872,0.711297,0.585731
87,21.6029,0.720063,0.579971
88,22.3273,0.7286,0.574335
89,23.0601,0.736911,0.568819
90,23.801,0.744999,0.56342
91,24.55,0.752868,0.558134
92,25.3067,0.760521,0.55296
93,26.071,0.767963,0.547893
94,26.8426,0.775196,0.542932
95,27.6213,0.782226,0.538074
96,28.4069,0.789055,0.533315
97,29.1993,0.795688,0.528654
98,29.9983,0.80213,0.524088
99,30.8035,0.808383,0.519615
100,31.615,0.814453,0.515233
101,32.4324,0.820344,0.510938
102,33.2556,0.826059,0.50673
103,34.0844,0.831604,0.502606
104,34.9187,0.836981,0.498564
105,35.7584,0.842196,0.494601
106,36.6031,0.847252,0.490717
107,37.4528,0.852154,0.486909
108,38.3073,0.856905,0.483175
109,39.1666,0.86151,0.479514
110,40.0303,0.865971,0.475924
