Maturity,Yield(Market),G_0,G_1,Yield(Model),Absolute Error
0.25,0.03675228,-0.0001,0.2469,0.036868267,0.0001
0.5,0.03785027,-0.0006,0.4877,0.036981501,0.0009
0.75,0.03840341,-0.0013,0.7226,0.037092066,0.0013
1,0.0386461,-0.0022,0.9516,0.037200038,0.0014
2,0.03852624,-0.0086,1.8127,0.037607499,0.0009
3,0.03819241,-0.0187,2.5918,0.037979149,0.0002
4,0.03805419,-0.0321,3.2968,0.038318897,0.0003
5,0.03809646,-0.0485,3.9347,0.03863016,0.0005
6,0.03826016,-0.0677,4.5119,0.038915928,0.0007
7,0.03849541,-0.0892,5.0341,0.039178827,0.0007
8,0.03876675,-0.1130,5.5067,0.039421163,0.0007
9,0.0390507,-0.1387,5.9343,0.03964497,0.0006
10,0.03933243,-0.1662,6.3212,0.039852046,0.0005
11,0.03960311,-0.1953,6.6713,0.040043979,0.0004
12,0.03985793,-0.2258,6.9881,0.04022218,0.0004
13,0.04009466,-0.2577,7.2747,0.040387903,0.0003
14,0.04031273,-0.2907,7.5340,0.040542266,0.0002
15,0.04051255,-0.3248,7.7687,0.040686266,0.0002
16,0.04069511,-0.3598,7.9810,0.040820796,0.0001
17,0.04086165,-0.3957,8.1732,0.040946656,0.0001
18,0.04101357,-0.4324,8.3470,0.041064566,0.0001
19,0.04115224,-0.4698,8.5043,0.041175171,0.0000
20,0.04127897,-0.5078,8.6466,0.041279057,0.0000
21,0.04139499,-0.5464,8.7754,0.041376751,0.0000
22,0.04150143,-0.5855,8.8920,0.041468731,0.0000
23,0.04159929,-0.6251,8.9974,0.04155543,0.0000
24,0.04168946,-0.6651,9.0928,0.041637241,0.0001
25,0.04177275,-0.7055,9.1792,0.041714524,0.0001
26,0.04184987,-0.7463,9.2573,0.041787604,0.0001
27,0.04192145,-0.7873,9.3279,0.041856779,0.0001
28,0.04198802,-0.8287,9.3919,0.041922323,0.0001
29,0.04205008,-0.8702,9.4498,0.041984485,0.0001
30,0.04210807,-0.9121,9.5021,0.042043493,0.0001
