NUMPATH,VALUE
1,16.9783
2,22.4565
3,20.3544
4,20.9879
5,20.1356
6,19.9331
7,19.1613
8,19.9278
9,20.7128
10,19.6143
11,20.1682
12,19.3842
13,21.021
14,21.1578
15,20.6018
16,19.3766
17,22.4935
18,20.4473
19,19.6103
20,20.6073
21,19.6602
22,19.8819
23,20.3635
24,20.118
25,23.2487
26,20.4876
27,19.0066
28,23.2445
29,17.7908
30,21.8336
31,19.696
32,19.5293
33,19.157
34,20.7798
35,18.7224
36,19.454
37,18.4964
38,20.046
39,19.6266
40,20.5046
41,19.7764
42,21.9114
43,19.7686
44,19.6581
45,20.2869
46,20.7208
47,18.4296
48,19.8597
49,20.322
50,19.9005
51,19.1632
52,18.974
53,22.0615
54,19.1945
55,20.779
56,20.9558
57,20.1561
58,19.6396
59,20.5649
60,20.2977
61,21.0095
62,22.0264
63,20.2073
64,19.4366
65,19.6622
66,21.2643
67,19.6694
68,18.7698
69,22.0169
70,19.8574
71,18.9802
72,19.3383
73,20.1794
74,19.8371
75,19.5982
76,19.4615
77,21.7158
78,19.7248
79,20.3408
80,18.6962
81,18.8897
82,19.2528
83,19.1104
84,19.2984
85,21.8302
86,21.7453
87,19.9337
88,20.1978
89,20.9949
90,21.1678
91,20.9236
92,21.5282
93,21.3608
94,20.1314
95,18.8015
96,20.3635
97,18.9266
98,19.3586
99,18.9084
100,20.6061
101,19.2195
102,18.4032
103,22.0515
104,19.022
105,20.4342
106,20.14
107,20.8812
108,20.887
109,21.4825
110,19.5227
111,20.4212
112,19.1963
113,20.6013
114,20.6868
115,20.4753
116,20.4229
117,19.8732
118,19.5475
119,19.824
120,20.0424
121,19.4685
122,20.0461
123,22.4811
124,20.4105
125,18.5728
126,20.3893
127,21.691
128,18.7077
129,20.4397
130,22.9596
131,20.1354
132,20.0222
133,19.3164
134,20.8705
135,20.8334
136,20.5923
137,18.8987
138,20.4796
139,19.2059
140,19.13
141,22.1087
142,18.9498
143,21.5236
144,21.5217
145,20.5336
146,19.4468
147,19.8851
148,21.0982
149,18.3
150,19.904
151,20.4248
152,20.8934
153,20.1559
154,18.8704
155,22.1207
156,20.3666
157,22.7828
158,18.8654
159,20.739
160,20.9358
161,21.3301
162,19.9913
163,20.2607
164,20.8816
165,20.6847
166,20.5252
167,18.5777
168,20.7224
169,21.5368
170,17.911
171,20.5482
172,21.8777
173,20.9156
174,22.5907
175,19.548
176,20.8558
177,19.2644
178,17.6335
179,20.2365
180,21.2687
