NUMPATH,RATE
0,0.0382157
1,0.0386407
2,0.0438089
3,0.0518098
4,0.049896
5,0.0273598
6,0.0221315
7,0.0652275
8,0.0331079
9,0.061922
10,0.0488868
11,0.0499357
12,0.0177869
13,0.0285076
14,0.0358311
15,0.0547913
16,0.0468451
17,0.032054
18,0.061254
19,0.0416426
20,0.0546172
21,0.0420445
22,0.0236879
23,0.0508035
24,0.0387244
25,0.046487
26,0.041952
27,0.0215211
28,0.039057
29,0.0470168
30,0.0762946
31,0.024414
32,0.0422454
33,0.0369439
34,0.0331216
35,0.0233582
36,0.0317432
37,0.0422659
38,0.0628421
39,0.0415029
40,0.0476088
41,0.0667172
42,0.041075
43,0.0576631
44,0.0563539
45,0.035094
46,0.0437821
47,0.0536457
48,0.0311617
49,0.0306073
50,0.0489022
51,0.0440905
52,0.0462267
53,0.0207263
54,0.0565271
55,0.00874172
56,0.0387109
57,0.0513448
58,0.0516692
59,0.0499869
60,0.0365894
61,0.0384784
62,0.0584782
63,0.052688
64,0.0547334
65,0.0549735
66,0.0447519
67,0.0489435
68,0.0487321
69,0.0568687
70,0.0361516
71,0.0543934
72,0.029709
73,0.0360402
74,0.0471794
75,0.0661147
76,0.0658008
77,0.0343893
78,0.0428739
79,0.0500765
80,0.0609973
81,0.0203658
82,0.0337332
83,0.0622358
84,0.0714645
85,0.0470631
86,0.042208
87,0.0361157
88,0.0379953
89,0.0537881
90,0.0434571
91,0.0563724
92,0.0564377
93,0.0427657
94,0.0620344
95,0.0218442
96,0.0308205
97,0.0764711
98,0.0499282
99,0.0478099
100,0.0271526
101,0.0381488
102,0.0172759
103,0.0200806
104,0.0744479
105,0.0484426
106,0.0657864
107,0.0422486
108,0.0353323
109,0.0202525
110,0.0108925
111,0.0394034
112,0.0719255
113,0.0164875
114,0.0332241
115,0.0471691
116,0.0597686
117,0.0552589
118,0.0425424
119,0.0293114
120,0.02602
121,0.0525454
122,0.0454238
123,0.0574597
124,0.0192426
125,0.0644741
126,0.0221892
127,0.0530427
128,0.0538004
129,0.0354169
130,0.0501809
131,0.0385801
132,0.0536293
133,0.0629559
134,0.066664
135,0.0406565
136,0.0541241
137,0.043626
138,0.0116997
139,0.0641084
140,0.0635754
141,0.0377514
142,0.0526492
143,0.0352656
144,0.0645516
145,0.0358385
146,0.0483852
147,0.0463541
148,0.0483055
149,0.0481288
150,0.0444757
151,0.0255215
152,0.0784083
153,0.0487301
154,0.0559159
155,0.0510221
156,0.0658855
157,0.0067806
158,0.0151051
159,0.0524674
160,0.0372931
161,0.069046
162,0.0469474
163,0.00799537
164,0.0323684
165,0.0771557
166,0.0589311
167,0.0616247
168,0.0186746
169,0.0321342
170,0.0736833
171,0.0526773
172,0.067688
173,0.034462
174,0.0061121
175,0.0447201
176,0.0564369
177,0.0641444
178,0.0520011
179,0.0474054
180,0.0527201
181,0.0430726
182,0.0601633
183,0.0359321
184,0.0405636
185,0.0536073
186,0.0254154
187,0.0534517
188,0.0342539
189,0.0531372
190,0.0571005
191,0.0430296
192,0.0363179
193,0.0414136
194,0.0500938
195,0.0351638
196,0.0634984
197,0.0337304
198,0.0512128
199,0.0648862
200,0.0705476
201,0.0409287
202,0.0524202
203,0.0478746
204,0.0354094
205,0.0302541
206,0.0575622
207,0.0456991
208,0.0317576
209,0.0537961
210,0.0156658
211,0.0779623
212,0.0670561
213,0.050995
214,0.0425116
215,0.0176635
216,0.0445825
217,0.018145
218,0.066714
219,0.0418948
220,0.0453862
221,0.0327104
222,0.0496211
223,0.0356776
224,0.0493368
225,0.0582344
226,0.0542568
227,0.0575302
228,0.0546591
229,0.0337922
230,0.0546349
231,0.0409715
232,0.0417415
233,0.0420135
234,0.0422255
235,0.0540392
236,0.0557273
237,0.0498707
238,0.0579774
239,0.0565966
240,0.0439742
241,0.036194
242,0.0582832
243,0.0405684
244,0.0294152
245,0.0169579
246,0.0439831
247,0.055255
248,0.0194187
249,0.0481271
250,0.0433037
251,0.0533974
252,0.0645643
253,0.047099
254,0.0536532
255,0.0686702
256,0.0546229
257,0.0416896
258,0.0418621
259,0.0377444
260,0.0240593
261,0.0265374
262,0.0306652
263,0.0387523
264,0.0588091
265,0.0310547
266,0.0348847
267,0.0464899
268,0.0439505
269,0.0328231
270,0.0597649
271,0.0401764
272,0.0631516
273,0.0333905
274,0.0367921
275,0.0830742
276,0.0319066
277,0.0662715
278,0.0279443
279,0.042663
280,0.0481465
281,0.0412844
282,0.0667332
283,0.0494765
284,0.0471281
285,0.0312137
286,0.0565409
287,0.0597794
288,0.0568345
289,0.0381463
290,0.041554
291,0.0371728
292,0.0404035
293,0.0316622
294,0.0584297
295,0.0358488
296,0.0412546
297,0.0721006
298,0.0560196
299,0.0431312
300,0.0176235
301,0.0244311
302,0.0387875
303,0.0260386
304,0.0812423
305,0.078785
306,0.0569973
307,0.0428536
308,0.0309694
309,0.0528991
310,0.0431935
311,0.0537089
312,0.0329976
313,0.0212933
314,0.0433696
315,0.049402
316,0.0466972
317,0.0441121
318,0.0498795
319,0.0365132
320,0.0314855
321,0.0483236
322,0.0673074
323,0.0180846
324,0.0599418
325,0.0301452
326,0.0343318
327,0.0406084
328,0.0653374
329,0.0341863
330,0.0593872
331,0.0380504
332,0.0560498
333,0.0324657
334,0.0547377
335,0.0252219
336,0.0658211
337,0.0298429
338,0.0677506
339,0.0166777
340,0.05273
341,0.052764
342,0.0816901
343,0.0239104
344,0.0596071
345,0.0413129
346,0.0463312
347,0.0233947
348,0.0410848
349,0.051406
350,0.0573235
351,0.033509
352,0.0378491
353,0.0348772
354,0.0328621
355,0.0525266
356,0.0244432
357,0.0457532
358,0.0242143
359,0.0673307
360,0.0384551
361,0.0462871
362,0.0411767
363,0.0500331
364,0.0402848
365,0.0595145
366,0.017872
367,0.0491352
368,0.0457885
369,0.025844
370,0.0594783
371,0.022737
372,0.0468533
373,0.0328012
374,0.0465943
375,0.0584011
376,0.0282493
377,0.0810802
378,0.0559635
379,0.0415109
380,0.0521894
381,0.0342337
382,0.033117
383,0.0679082
384,0.0410712
385,0.0505741
386,0.0482807
387,0.0371769
388,0.0280648
389,0.0323987
390,0.0307853
391,0.0392776
392,0.0299307
393,0.042076
394,0.034443
395,0.0217394
396,0.0406202
397,0.0435514
398,0.0318991
399,0.0507798
400,0.0372192
401,0.0609428
402,0.0683738
403,0.0425122
404,0.0396
405,0.0697796
406,0.0414554
407,0.0451922
408,0.0457671
409,0.0534252
410,0.00819931
411,0.0480097
