u,D,L
0,0,0
0.01,0.891250938,0.90682973
0.02,0.90682973,0.922680835
0.03,0.916068672,0.932081271
0.04,0.922680835,0.938809011
0.05,0.927842475,0.944060876
0.06,0.932081271,0.948373764
0.07,0.935680225,0.952035627
0.08,0.938809011,0.955219104
0.09,0.94157748,0.958035964
0.1,0.944060876,0.96056277
0.11,0.946313024,0.962854284
0.12,0.948373764,0.964951046
0.13,0.950273424,0.966883911
0.14,0.952035627,0.968676917
0.15,0.953679136,0.970349154
0.16,0.955219104,0.97191604
0.17,0.956667947,0.973390208
0.18,0.958035964,0.974782138
0.19,0.959331798,0.976100623
0.2,0.96056277,0.977353111
0.21,0.961735135,0.978545969
0.22,0.962854284,0.97968468
0.23,0.963924893,0.980774003
0.24,0.964951046,0.981818093
0.25,0.965936329,0.982820599
0.26,0.966883911,0.983784744
0.27,0.967796605,0.984713391
0.28,0.968676917,0.985609091
0.29,0.969527093,0.986474129
0.3,0.970349154,0.987310558
0.31,0.971144919,0.988120233
0.32,0.97191604,0.988904833
0.33,0.972664014,0.989665882
0.34,0.973390208,0.990404769
0.35,0.974095868,0.991122764
0.36,0.974782138,0.99182103
0.37,0.975450067,0.992500634
0.38,0.976100623,0.993162561
0.39,0.976734696,0.993807718
0.4,0.977353111,0.994436943
0.41,0.977956632,0.995051013
0.42,0.978545969,0.995650651
0.43,0.97912178,0.996236527
0.44,0.97968468,0.996809267
0.45,0.980235243,0.997369453
0.46,0.980774003,0.997917631
0.47,0.981301463,0.998454311
0.48,0.981818093,0.998979971
0.49,0.982324333,0.99949506
0.5,0.982820599,1
0.51,0.98330728,
0.52,0.983784744,
0.53,0.984253339,
0.54,0.984713391,
0.55,0.985165211,
0.56,0.985609091,
0.57,0.986045309,
0.58,0.986474129,
0.59,0.986895799,
0.6,0.987310558,
0.61,0.987718631,
0.62,0.988120233,
0.63,0.988515569,
0.64,0.988904833,
0.65,0.989288211,
0.66,0.989665882,
0.67,0.990038013,
0.68,0.990404769,
0.69,0.990766303,
0.7,0.991122764,
0.71,0.991474294,
0.72,0.99182103,
0.73,0.992163101,
0.74,0.992500634,
0.75,0.992833749,
0.76,0.993162561,
0.77,0.993487182,
0.78,0.993807718,
0.79,0.994124272,
0.8,0.994436943,
0.81,0.994745826,
0.82,0.995051013,
0.83,0.995352593,
0.84,0.995650651,
0.85,0.995945269,
0.86,0.996236527,
0.87,0.996524502,
0.88,0.996809267,
0.89,0.997090894,
0.9,0.997369453,
0.91,0.99764501,
0.92,0.997917631,
0.93,0.998187377,
0.94,0.998454311,
0.95,0.998718489,
0.96,0.998979971,
0.97,0.99923881,
0.98,0.99949506,
0.99,0.999748773,
1,1,
